글쓰기,읽고이해하기,듣고이해하기,말하기,수리력,논리적분석,창의력,범주화,기억력,공간지각력,추리력,학습전략,선택적집중력,모니터링,사람파악,행동조정,설득,협상,가르치기,서비스지향,문제해결,판단과의사결정,시간관리,재정관리,물적자원관리,인적자원관리,기술분석,기술설계,장비선정,설치,전산,품질관리분석,조작및통제,장비의유지,고장의발견.수리,작동점검,조직체계의분석및평가,정교한동작,움직임통제,반응시간과속도,신체적강인성,유연성및균형,시력,청력,knowcode
9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,9.0,8.0,7.0,8.0,416204
8.0,7.0,8.0,8.0,9.0,9.0,,8.0,6.0,7.0,7.0,8.0,4.0,5.0,6.0,7.0,7.0,,5.0,4.0,6.0,6.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,9.0,4.0,6.0,5.0,6.0,6.0,4.0,9.0,7.0,8.0,7.0,7.0,5.0,5.0,301101
7.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,872201
4.0,4.0,5.0,,,5.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,5.0,7.0,7.0,6.0,7.0,7.0,5.0,4.0,6.0,4.0,7.0,7.0,9.0,,11.0,6.0,6.0,5.0,5.0,11.0,,511401
9.0,7.0,9.0,9.0,,,,,,,,,5.0,5.0,11.0,5.0,9.0,,,9.0,11.0,5.0,,,,9.0,9.0,,,,5.0,7.0,,,,,,7.0,,,,,7.0,,301106
8.0,8.0,9.0,9.0,7.0,8.0,7.0,9.0,7.0,5.0,6.0,10.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,7.0,6.0,7.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,6.0,4.0,9.0,7.0,4.0,9.0,8.0,306903
,,5.0,4.0,,4.0,4.0,,5.0,8.0,,,8.0,,,,,,,,5.0,5.0,5.0,4.0,3.0,,4.0,,5.0,,,,5.0,5.0,5.0,,,5.0,6.0,5.0,8.0,9.0,9.0,10.0,904201
6.0,9.0,7.0,7.0,7.0,6.0,7.0,9.0,8.0,7.0,8.0,6.0,7.0,7.0,8.0,7.0,5.0,7.0,7.0,8.0,7.0,9.0,7.0,8.0,9.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,6.0,7.0,9.0,7.0,7.0,8.0,811101
8.0,9.0,10.0,8.0,8.0,9.0,8.0,6.0,9.0,7.0,8.0,10.0,6.0,9.0,8.0,8.0,6.0,7.0,8.0,9.0,10.0,9.0,7.0,8.0,5.0,9.0,8.0,7.0,6.0,5.0,8.0,10.0,4.0,6.0,4.0,5.0,10.0,5.0,4.0,6.0,4.0,5.0,6.0,7.0,16201
,4.0,9.0,7.0,4.0,,,4.0,5.0,8.0,,,6.0,4.0,4.0,7.0,4.0,6.0,,8.0,4.0,9.0,9.0,7.0,,,,,5.0,,,,,5.0,5.0,7.0,,5.0,5.0,7.0,4.0,3.0,6.0,7.0,622101
9.0,8.0,8.0,6.0,7.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,7.0,4.0,7.0,4.0,5.0,7.0,7.0,4.0,5.0,,,4.0,6.0,,5.0,,7.0,6.0,4.0,4.0,,,8.0,7.0,7.0,6.0,4.0,7.0,7.0,8.0,306101
12.0,12.0,12.0,11.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,5.0,6.0,10.0,9.0,11.0,9.0,8.0,7.0,7.0,6.0,9.0,,,,5.0,7.0,5.0,,,,9.0,6.0,5.0,7.0,7.0,5.0,8.0,8.0,122106
8.0,11.0,11.0,8.0,,5.0,5.0,,7.0,,,5.0,6.0,5.0,8.0,5.0,5.0,6.0,8.0,6.0,6.0,6.0,6.0,,4.0,4.0,5.0,,,,5.0,,,,,,4.0,,5.0,5.0,6.0,4.0,7.0,6.0,301104
7.0,10.0,9.0,7.0,11.0,7.0,5.0,9.0,6.0,7.0,6.0,9.0,10.0,9.0,7.0,10.0,5.0,4.0,8.0,8.0,7.0,7.0,5.0,5.0,4.0,4.0,9.0,4.0,8.0,9.0,10.0,8.0,6.0,8.0,7.0,6.0,6.0,8.0,9.0,6.0,7.0,6.0,9.0,4.0,306201
9.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,7.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,6.0,7.0,7.0,6.0,8.0,7.0,7.0,5.0,5.0,6.0,7.0,4.0,4.0,5.0,7.0,7.0,8.0,8.0,231401
,,4.0,,,,5.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,7.0,6.0,6.0,5.0,7.0,6.0,532201
4.0,4.0,5.0,4.0,8.0,,,6.0,4.0,7.0,6.0,6.0,7.0,,,5.0,,,,8.0,4.0,,4.0,,,,6.0,,7.0,8.0,,,6.0,9.0,10.0,9.0,,6.0,7.0,6.0,7.0,8.0,7.0,8.0,811301
,10.0,8.0,7.0,6.0,10.0,6.0,9.0,12.0,7.0,5.0,,10.0,,,,,,7.0,5.0,7.0,,6.0,,6.0,,8.0,7.0,12.0,12.0,4.0,5.0,10.0,10.0,12.0,12.0,,6.0,9.0,7.0,9.0,7.0,11.0,10.0,812101
9.0,7.0,10.0,9.0,6.0,7.0,6.0,7.0,5.0,4.0,7.0,7.0,5.0,,5.0,6.0,5.0,4.0,4.0,8.0,4.0,8.0,6.0,4.0,4.0,4.0,7.0,,,,5.0,,,,,,,,,,,,6.0,6.0,306601
,,7.0,7.0,,4.0,7.0,5.0,,,,5.0,9.0,,7.0,9.0,7.0,,4.0,4.0,,,4.0,,,,9.0,9.0,10.0,,,,,,,,,4.0,5.0,7.0,,7.0,7.0,7.0,531601
5.0,5.0,7.0,6.0,6.0,11.0,12.0,11.0,6.0,12.0,6.0,11.0,5.0,,5.0,11.0,,,,10.0,8.0,6.0,4.0,,3.0,,10.0,10.0,10.0,10.0,10.0,3.0,10.0,,,,,10.0,9.0,10.0,5.0,3.0,10.0,6.0,121106
6.0,8.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,31301
,7.0,4.0,4.0,,,,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,861101
,,7.0,,,7.0,,7.0,8.0,,,6.0,8.0,,,8.0,,,,9.0,12.0,9.0,7.0,,8.0,6.0,9.0,11.0,10.0,9.0,,8.0,10.0,9.0,10.0,9.0,7.0,11.0,11.0,8.0,10.0,8.0,8.0,7.0,882201
9.0,7.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,617101
5.0,6.0,6.0,5.0,5.0,5.0,,4.0,5.0,,6.0,,6.0,,5.0,4.0,5.0,,,10.0,9.0,,,,,,6.0,,9.0,6.0,5.0,,6.0,4.0,5.0,7.0,,4.0,,,,,5.0,4.0,306902
10.0,8.0,8.0,,,,,10.0,12.0,7.0,,9.0,10.0,,9.0,6.0,,,7.0,,6.0,,,,4.0,,7.0,,8.0,7.0,7.0,,10.0,7.0,6.0,6.0,,10.0,9.0,10.0,,8.0,8.0,8.0,29902
5.0,9.0,9.0,7.0,8.0,9.0,9.0,5.0,9.0,9.0,7.0,9.0,11.0,6.0,10.0,8.0,5.0,,12.0,5.0,9.0,11.0,9.0,,,6.0,5.0,,10.0,9.0,7.0,,5.0,5.0,5.0,9.0,9.0,12.0,10.0,10.0,7.0,7.0,9.0,7.0,301102
,,,,,,,5.0,5.0,5.0,,5.0,5.0,5.0,,,,,5.0,5.0,,,5.0,,,,5.0,,5.0,,,7.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,,7.0,5.0,621901
5.0,8.0,7.0,8.0,8.0,8.0,6.0,6.0,7.0,8.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,9.0,5.0,8.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,8.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,8.0,6.0,140304
8.0,7.0,8.0,6.0,7.0,7.0,6.0,6.0,7.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0,7.0,6.0,5.0,6.0,5.0,,5.0,7.0,5.0,7.0,6.0,7.0,9.0,5.0,7.0,6.0,7.0,5.0,4.0,6.0,6.0,8.0,7.0,6.0,5.0,158501
7.0,7.0,6.0,7.0,6.0,,,,7.0,9.0,,5.0,6.0,8.0,8.0,,7.0,,7.0,8.0,7.0,8.0,7.0,5.0,,9.0,6.0,,6.0,6.0,4.0,7.0,6.0,,,7.0,,6.0,5.0,,,,7.0,7.0,303001
4.0,7.0,7.0,5.0,7.0,7.0,4.0,4.0,7.0,,5.0,5.0,7.0,7.0,,4.0,,5.0,4.0,7.0,7.0,7.0,5.0,5.0,5.0,,7.0,7.0,9.0,8.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,,7.0,,,4.0,,153101
8.0,5.0,9.0,7.0,8.0,8.0,,7.0,7.0,9.0,,6.0,7.0,,6.0,6.0,,,8.0,9.0,9.0,8.0,6.0,,6.0,,8.0,,8.0,10.0,7.0,,8.0,7.0,7.0,8.0,,7.0,6.0,7.0,7.0,7.0,6.0,6.0,831101
6.0,7.0,7.0,9.0,4.0,8.0,7.0,8.0,6.0,8.0,10.0,5.0,6.0,4.0,5.0,7.0,9.0,6.0,4.0,10.0,10.0,9.0,10.0,5.0,4.0,7.0,4.0,5.0,7.0,9.0,7.0,7.0,5.0,7.0,9.0,7.0,5.0,6.0,4.0,7.0,,4.0,7.0,5.0,842301
5.0,5.0,5.0,4.0,,,,4.0,4.0,,,6.0,4.0,5.0,6.0,6.0,,,4.0,5.0,6.0,4.0,6.0,,,,,,,,,,,,,,,,,,,4.0,6.0,6.0,231401
4.0,5.0,5.0,4.0,4.0,,,5.0,4.0,3.0,,7.0,7.0,5.0,4.0,7.0,4.0,5.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,4.0,5.0,5.0,5.0,,7.0,5.0,4.0,4.0,,6.0,7.0,4.0,5.0,7.0,4.0,4.0,5.0,872201
,,,,8.0,8.0,,,8.0,,,,,,,,,,,,,,,,,,12.0,12.0,10.0,12.0,9.0,10.0,10.0,10.0,9.0,10.0,,,,,,,,,153102
9.0,9.0,11.0,11.0,6.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,9.0,11.0,9.0,9.0,8.0,9.0,7.0,9.0,4.0,4.0,3.0,4.0,9.0,9.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,8.0,7.0,7.0,8.0,8.0,14103
10.0,12.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,6.0,10.0,9.0,8.0,9.0,11.0,10.0,10.0,10.0,7.0,6.0,4.0,8.0,6.0,4.0,,,4.0,,4.0,,,,8.0,,,,,,,,110104
7.0,7.0,7.0,5.0,5.0,7.0,,6.0,8.0,5.0,4.0,8.0,6.0,,7.0,7.0,7.0,7.0,4.0,7.0,4.0,6.0,6.0,,,,,,5.0,,5.0,,,5.0,4.0,6.0,,5.0,5.0,5.0,,6.0,4.0,4.0,301004
6.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,415301
10.0,10.0,9.0,9.0,8.0,8.0,7.0,9.0,8.0,5.0,9.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,8.0,6.0,8.0,6.0,7.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,5.0,8.0,8.0,5.0,301101
4.0,6.0,8.0,10.0,4.0,7.0,5.0,7.0,7.0,9.0,,7.0,7.0,7.0,5.0,7.0,7.0,,7.0,9.0,9.0,7.0,,,8.0,7.0,8.0,9.0,9.0,7.0,,5.0,6.0,8.0,7.0,8.0,,7.0,8.0,9.0,10.0,6.0,7.0,7.0,240201
6.0,7.0,5.0,9.0,8.0,7.0,,7.0,8.0,9.0,,,8.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,6.0,9.0,,,9.0,,4.0,,7.0,6.0,7.0,4.0,,8.0,9.0,7.0,7.0,7.0,6.0,7.0,624101
9.0,11.0,8.0,10.0,,8.0,7.0,6.0,5.0,6.0,7.0,9.0,7.0,5.0,6.0,6.0,5.0,,10.0,7.0,7.0,5.0,8.0,4.0,7.0,3.0,,,6.0,,8.0,,5.0,6.0,,,4.0,,,,3.0,4.0,6.0,6.0,211101
8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,9.0,9.0,5.0,6.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,8.0,6.0,9.0,7.0,5.0,5.0,6.0,6.0,5.0,6.0,612401
5.0,7.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,7.0,6.0,7.0,5.0,8.0,5.0,7.0,7.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,5.0,7.0,8.0,5.0,7.0,8.0,3.0,6.0,6.0,5.0,7.0,6.0,,3.0,4.0,3.0,4.0,6.0,3.0,134301
5.0,6.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,,,,7.0,9.0,9.0,9.0,9.0,9.0,9.0,420301
10.0,9.0,12.0,12.0,5.0,12.0,12.0,9.0,9.0,10.0,11.0,10.0,11.0,8.0,11.0,10.0,12.0,12.0,11.0,9.0,11.0,10.0,9.0,,11.0,11.0,9.0,9.0,11.0,9.0,11.0,,9.0,,,,,,,,,,9.0,11.0,301107
5.0,4.0,4.0,4.0,4.0,5.0,4.0,9.0,4.0,4.0,,,8.0,,,,,,,,4.0,4.0,7.0,,,,4.0,,4.0,6.0,,4.0,4.0,5.0,5.0,6.0,,4.0,4.0,4.0,6.0,6.0,6.0,4.0,703201
3.0,4.0,7.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,3.0,6.0,6.0,5.0,7.0,6.0,4.0,5.0,7.0,7.0,6.0,7.0,4.0,7.0,4.0,6.0,6.0,7.0,4.0,3.0,3.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,4.0,5.0,7.0,6.0,4.0,884101
4.0,6.0,7.0,7.0,3.0,4.0,5.0,4.0,5.0,4.0,,6.0,5.0,,8.0,9.0,6.0,,4.0,6.0,7.0,9.0,5.0,,7.0,4.0,5.0,4.0,,,,5.0,,,,,5.0,7.0,6.0,7.0,4.0,6.0,4.0,4.0,550101
,5.0,8.0,9.0,6.0,7.0,,5.0,4.0,4.0,6.0,7.0,10.0,6.0,6.0,,,7.0,6.0,9.0,5.0,5.0,,3.0,7.0,,5.0,8.0,7.0,3.0,9.0,7.0,7.0,5.0,5.0,3.0,,9.0,9.0,9.0,7.0,5.0,10.0,5.0,307301
6.0,7.0,6.0,7.0,4.0,5.0,5.0,5.0,8.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,7.0,7.0,5.0,9.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,8.0,5.0,9.0,9.0,511501
9.0,11.0,11.0,11.0,9.0,8.0,5.0,7.0,8.0,6.0,5.0,11.0,10.0,7.0,8.0,10.0,10.0,10.0,8.0,9.0,7.0,10.0,12.0,11.0,8.0,6.0,6.0,5.0,,,5.0,,,,,,5.0,,,,5.0,4.0,9.0,8.0,33202
4.0,7.0,7.0,7.0,12.0,7.0,4.0,7.0,6.0,7.0,4.0,7.0,10.0,7.0,5.0,6.0,7.0,7.0,4.0,7.0,7.0,10.0,7.0,,,4.0,,,,,7.0,,,,,,7.0,,,4.0,7.0,4.0,7.0,7.0,31101
5.0,6.0,7.0,9.0,4.0,5.0,9.0,5.0,5.0,7.0,5.0,9.0,7.0,,5.0,5.0,7.0,,8.0,7.0,7.0,7.0,8.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,4.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,7.0,8.0,8.0,7.0,420403
,4.0,7.0,5.0,3.0,,,4.0,7.0,9.0,,,6.0,,4.0,5.0,4.0,4.0,,5.0,4.0,5.0,7.0,6.0,,,,,,,,,,,,4.0,,5.0,6.0,10.0,,4.0,7.0,3.0,622101
,7.0,7.0,7.0,4.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,,7.0,,,,7.0,7.0,9.0,9.0,,,6.0,7.0,9.0,9.0,7.0,7.0,7.0,9.0,9.0,10.0,10.0,,9.0,7.0,10.0,7.0,7.0,7.0,12.0,885101
7.0,7.0,7.0,7.0,8.0,9.0,9.0,7.0,9.0,7.0,7.0,,7.0,7.0,7.0,4.0,9.0,7.0,,9.0,7.0,7.0,7.0,4.0,,,,,,,9.0,,,,,,7.0,7.0,,8.0,7.0,6.0,9.0,7.0,32201
6.0,7.0,8.0,9.0,4.0,4.0,4.0,6.0,7.0,4.0,4.0,4.0,5.0,4.0,9.0,4.0,7.0,,4.0,9.0,5.0,4.0,8.0,,,,,,,,,,,,,,,,,,,7.0,6.0,8.0,521304
7.0,9.0,8.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,,8.0,7.0,7.0,5.0,9.0,9.0,8.0,6.0,8.0,8.0,9.0,9.0,6.0,7.0,8.0,9.0,,9.0,8.0,6.0,6.0,9.0,9.0,7.0,9.0,9.0,6.0,,,3.0,8.0,6.0,8.0,28201
,5.0,6.0,8.0,5.0,4.0,4.0,6.0,5.0,4.0,5.0,7.0,,4.0,5.0,6.0,5.0,4.0,7.0,4.0,5.0,6.0,7.0,4.0,6.0,4.0,7.0,4.0,4.0,5.0,,4.0,4.0,4.0,,4.0,,6.0,4.0,,4.0,4.0,4.0,4.0,531601
7.0,8.0,9.0,9.0,10.0,8.0,6.0,7.0,7.0,9.0,7.0,7.0,7.0,8.0,5.0,6.0,7.0,7.0,9.0,10.0,8.0,,5.0,,5.0,7.0,8.0,,,9.0,6.0,,,,,,,,,9.0,8.0,8.0,4.0,7.0,417102
,6.0,5.0,4.0,,,,,,,,,3.0,4.0,4.0,,,4.0,,,4.0,7.0,4.0,,,,,,,,4.0,4.0,,,,,4.0,,,,,,5.0,6.0,615301
,,6.0,6.0,7.0,,6.0,8.0,6.0,8.0,5.0,4.0,8.0,8.0,4.0,8.0,,3.0,5.0,6.0,7.0,7.0,4.0,5.0,5.0,3.0,9.0,8.0,5.0,7.0,7.0,7.0,8.0,8.0,6.0,7.0,8.0,11.0,7.0,7.0,8.0,5.0,5.0,4.0,861101
11.0,11.0,9.0,11.0,9.0,7.0,7.0,6.0,9.0,6.0,7.0,7.0,9.0,9.0,7.0,6.0,9.0,9.0,9.0,9.0,7.0,9.0,6.0,9.0,6.0,,8.0,7.0,9.0,9.0,9.0,8.0,6.0,7.0,7.0,,,,,6.0,6.0,9.0,9.0,11.0,140305
4.0,5.0,5.0,9.0,,5.0,,7.0,4.0,9.0,9.0,7.0,7.0,9.0,9.0,10.0,9.0,7.0,7.0,9.0,8.0,7.0,9.0,8.0,,,,,,,,,,,,4.0,,,,11.0,7.0,7.0,9.0,9.0,522101
11.0,10.0,7.0,9.0,5.0,8.0,9.0,8.0,7.0,9.0,5.0,9.0,9.0,9.0,10.0,7.0,5.0,3.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,,,4.0,,4.0,,3.0,,,,4.0,,,4.0,4.0,3.0,6.0,4.0,13204
7.0,7.0,8.0,6.0,7.0,10.0,9.0,9.0,7.0,6.0,9.0,9.0,9.0,7.0,5.0,8.0,5.0,6.0,7.0,4.0,10.0,7.0,8.0,5.0,6.0,5.0,11.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,7.0,8.0,8.0,6.0,5.0,5.0,6.0,,6.0,,133101
6.0,4.0,5.0,6.0,7.0,7.0,6.0,6.0,5.0,,,7.0,10.0,8.0,,9.0,,,8.0,11.0,6.0,,9.0,8.0,11.0,8.0,9.0,9.0,11.0,8.0,3.0,9.0,8.0,9.0,9.0,11.0,,11.0,8.0,9.0,6.0,9.0,12.0,7.0,884201
5.0,7.0,9.0,9.0,5.0,7.0,5.0,5.0,4.0,,4.0,,5.0,7.0,5.0,4.0,5.0,7.0,,9.0,7.0,9.0,7.0,,,5.0,9.0,9.0,10.0,9.0,5.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,7.0,8.0,301401
10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,153102
6.0,6.0,8.0,8.0,,7.0,6.0,5.0,4.0,7.0,,,6.0,,6.0,8.0,5.0,,5.0,6.0,8.0,7.0,7.0,,6.0,,5.0,5.0,6.0,,4.0,,5.0,5.0,5.0,4.0,,4.0,5.0,,8.0,9.0,6.0,5.0,306501
,,5.0,5.0,4.0,5.0,9.0,5.0,7.0,,,5.0,5.0,,5.0,5.0,,5.0,5.0,7.0,,,9.0,,,,,,,,,,,,,,,7.0,8.0,,5.0,5.0,8.0,,511302
7.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,6.0,7.0,7.0,6.0,7.0,9.0,6.0,5.0,,5.0,6.0,8.0,9.0,7.0,6.0,7.0,5.0,6.0,7.0,8.0,8.0,7.0,5.0,5.0,5.0,,6.0,7.0,7.0,133201
,,4.0,5.0,3.0,5.0,6.0,4.0,6.0,4.0,3.0,7.0,5.0,7.0,4.0,6.0,5.0,,3.0,4.0,6.0,4.0,3.0,4.0,7.0,,6.0,6.0,4.0,,,3.0,,,,4.0,4.0,8.0,6.0,4.0,7.0,4.0,5.0,4.0,901501
7.0,8.0,8.0,6.0,8.0,9.0,5.0,8.0,8.0,5.0,6.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,7.0,10.0,6.0,4.0,3.0,5.0,5.0,,,,7.0,3.0,3.0,,,,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,32301
7.0,8.0,7.0,,,10.0,9.0,8.0,7.0,,8.0,,,,,,,,,,7.0,6.0,,,,,,,,,,9.0,,,,,,,,,,,8.0,,122103
,4.0,5.0,6.0,,6.0,5.0,7.0,4.0,7.0,5.0,4.0,6.0,,6.0,5.0,,,4.0,5.0,5.0,5.0,7.0,,,,,,4.0,4.0,,,4.0,4.0,4.0,5.0,,5.0,8.0,4.0,7.0,6.0,5.0,5.0,706001
5.0,8.0,7.0,9.0,7.0,7.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,9.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,6.0,512102
4.0,4.0,4.0,4.0,6.0,,4.0,7.0,4.0,,,6.0,4.0,4.0,7.0,4.0,4.0,,4.0,7.0,4.0,4.0,4.0,,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,,,7.0,4.0,4.0,5.0,6.0,5.0,6.0,532101
7.0,7.0,5.0,5.0,,4.0,5.0,,4.0,,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,5.0,,411104
,,5.0,4.0,,,,5.0,6.0,3.0,,9.0,7.0,6.0,5.0,6.0,,4.0,,7.0,6.0,6.0,7.0,4.0,6.0,,4.0,,,,,4.0,,,,,4.0,3.0,6.0,6.0,7.0,4.0,5.0,4.0,531301
,,5.0,9.0,7.0,4.0,4.0,,6.0,7.0,,4.0,7.0,4.0,6.0,7.0,,5.0,,7.0,7.0,6.0,7.0,7.0,4.0,,6.0,,5.0,,,4.0,4.0,7.0,9.0,7.0,,7.0,7.0,9.0,4.0,7.0,6.0,3.0,622101
7.0,9.0,7.0,6.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,9.0,8.0,7.0,8.0,8.0,9.0,6.0,9.0,7.0,6.0,6.0,9.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,131203
5.0,,8.0,6.0,,6.0,9.0,8.0,6.0,8.0,8.0,9.0,8.0,,,8.0,7.0,,6.0,8.0,,,8.0,5.0,5.0,,7.0,7.0,8.0,6.0,6.0,,9.0,6.0,,7.0,6.0,10.0,10.0,9.0,9.0,8.0,9.0,7.0,414201
,5.0,9.0,9.0,,,,5.0,11.0,5.0,5.0,4.0,10.0,,5.0,11.0,9.0,9.0,,4.0,5.0,9.0,11.0,,10.0,9.0,9.0,11.0,10.0,9.0,,5.0,4.0,9.0,,5.0,9.0,9.0,9.0,4.0,5.0,4.0,,,151105
,8.0,8.0,5.0,7.0,7.0,6.0,7.0,6.0,9.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,,6.0,7.0,10.0,7.0,8.0,7.0,8.0,8.0,7.0,6.0,8.0,6.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,853101
