,0,result
1479,할 수 없을 것 같을 때 저를 바꾸는 게 아니라 계획을 바꾸고 또 만들고 있던 것 같습니다,18
1480,모든 일에 계획을 세우고 거기에 억지로 맞춰려고 하다보니 점점 의욕도 떨어지고 후회만 하게 됐어요,0
1481,정답에서 비껴간 기준을 밀어붙이다보니 당연히 나오는 결과라고 생각합니다,0
1482,이렇게 생각하면서도 결국 그걸 계속하고 있는 제가 한심합니다,11
1483,첫 상담 두 번째 상담을 포함해서 제게는 꽤 뚜렷한 비전이 있는데 충분히 열심히 할만한 목표와 동기도 많은데 도대체 왜 저는 이럴까요 제가 만족할 답이 나올때까지 상담을 하는 것 같아 죄송합니다,0
1484,절대 그런 의도가 아니라고 이런 말을 할 곳이 없어서라고 말씀드리고 싶어요,8
1485,횡설수설이고 창피한 이야기지만 읽어 주셔서 감사합니다,6
1486,역사교육과 또는 사학과 쪽으로 진학하는 것을 희망하는데 아무래도 역사쪽이다 보니 세계사나 동아시아사 과목 수강하면 좋잖아요,8
1487,근데 저희학교는 문과가 윤사 사문 세계지리 이거 세개밖에 못 들어요,9
1488,선택은 문과 이과만 선택할 수 있고 세계사랑 동아시아사 과목 자체가 없어요,8
1489,학교에세계지리라도 있는게 다행인 것 같은데 대학 학과 진학에 있어서 동아시아사와 세계사 과목을 수강하지 않아도 괜찮을까요,9
1490,올해 자퇴하고 독일로 미대 유학을 준비 중인 학생입니다,9
1491,유학미술 시작한지는 4개월차가 되었고 칭찬도 받으며 꽤 순조롭습니다,6
1492,원래 부모님께서 미술을 반대하셨는데 2년동안 끊임없이 부탁드려서 겨우 하게되었어요,11
1493,그런데 요즘 슬럼프인지 아니면 원래 이 길이 안맞는건지 미술에 대햐 애정시 식고 음악이 너무 하고싶어요,14
1494,미술도 순수회화 준비했고 음악도 클래식을 하고싶어요,11
1495,독일로 가는건 변함없고요,14
1496,이제와서 하는게 늦은거 알지만 남들보다 훨씬 많이 노력해서 따라잡을 자신있습니다하지먀 부모님께 너무 죄송해요 2년동안 그 난리를치며 미술이 좋다했는데 이제와서 음악이 더 좋다하면 변덕쟁이에 뭐하나 잘하는게 없다고 생각하실것 같아서아버지는 내년에 꼭 대학을 가기원하셔서 시간이 별로 없는데 너무 고민됩니다,11
1497,하루종일 갈팡질팡해요,0
1498,어떤걸 선택하는게 나을까요,5
1499,또 부모님께 어떻게 말씀을 드려야할까요,0
1500,안녕하세요,4
1501,현재 고등학교 진학 문제로 갈등하고 있는 중학교 3학년 학생입니다,19
1502,저는 외고와 일반고중 어디를 진학할지 고민입니다,10
1503,결정할 시기가 코앞이다 보니 초조함에 더욱 갈등하는 것 같아요,11
1504,제가 되고 싶은 직업도 없다보니 더욱 막막한 느낌입니다,1
1505,외고는 제가 영어를 잘하고 또 가서 언어 관련해서 배우고 싶어서 생각했습니다,7
1506,성적은 모두 올A라 괜찮습니다 하지만 내신 따기가 몹시 힘든다는 점에서 고민되는 것 같아요,2
1507,제 목표는 그래도 인 서울 하는 대학교에 가는 것이기에 일반고에서 열심히 공부해서 내신을 외고보단 쉽게 딸 것이냐,8
1508,아님 외고에 가서 정시 쪽으로 빠질 것이냐 고민 중입니다,2
1509,일반고에 가서 분위기에 휩쓸리지 않을 자신 있습니다,14
1510,외고에 가면 개고생 한다는 주변 말도 있어서 더욱 고민하는 것 같아요,8
1511,물론 자기 나름이겠지만요 하지만 내신 따기가 몹시 힘든다는 점에서 고민되는 것 같아요,9
1512,제 목표는 그래도 인 서울 하는 대학교에 가는 것이기에 일반고에서 열심히 공부해서 내신을 외고보단 쉽게 딸것이냐,8
1513,아님 외고에 가서 정시 쪽으로 빠질 것이냐 고민 중입니다,2
1514,일반고에 가서 분위기에 휩쓸리지 않을 자신 있습니다,14
1515,외고에 가면 개고생 한다는 주변 말도 있어서 더욱 고민하는 것 같아요,8
1516,물론 자기 나름이겠지만요 가끔씩은 수학 처럼 답이 정해져 있었으면 하는 생각이 들기도 하네요 긴글 읽어주셔서 감사합니다,0
1517,어디로 가라 정해달라는 말은 아니니 편하게 생각해주세요,13
1518,안녕하세요,4
1519,저는 12세 여자 김옌이라 합니다,0
1520,저는 제가 좋아하는 활동 중에서 어떤 직업이 있는지 알고 싶어요 미래의 직업포함제가 좋아하는 활동 그리고 잘하는 활동은 노래나 바이올린 같은 음악이나 글쓰기도 좋아하고 잘하는 편이에요 ,18
1521,그리고 주변 여자친구들이랑 비교를 하자면 조금 더 활동적이고 체육같은 것을 잘하는 편이에요,0
1522,글을 정리하는 것도 좋아해요,5
1523,제가 어렸을때 부터 아빠와 자라서 남자애들과도 잘 맞는 것 같아요,6
1524,그리고 저는 지금 사립초등학교를 다니고 있기때문에 다른 초등학교학생들이 가장좋아하는 색깔을 묻고 답하는 것을 영어로할때 저희학교는 일반 영어학원에서 중학교영어를 준비하는 수준 인 것 같아요,10
1525,그래서 영어를 잘한다고 생각하는 편 이에요,5
1526,그리고 저는 학원을 피아노밖에 다니지 않아요 피아노는 중학교를 가게되면 그만두려해요,2
1527,음악의 기초여서 어쩔 수 없이 시작하게 되었거든요 피아노학원은 아빠친구의 와이프분이 피아노학원을 운영하고 계셔서 종종 다니는 편입니다,14
1528,그냥 학원을 아예다니지 않는 샘이에요,14
1529,이번 기말고사를 보았을때는 눈에 띄게 잘한과목은 국어100영어92사회92 였어요,9
1530,평소에 책을 많이 읽는 편이여서 아는 지식이 많았기때문에 두 개 정도 틀렸어요,14
1531,저는 제가 무엇을 잘하고 무엇을 어떻게 보완해야하는지 알고있는데 제가 잘하는 것에 대한 직업을 알아보기가 힘든 것 같고 일상생활에서는 미래의 없어질 직업이나 미래의 생길직업같은것이 무엇인지 궁금해요,18
1532,답변 기다릴게요,16
1533,제가 심리학과를 전공하고 싶은데요 ,13
1534,심리학과가 있는 대학이 되게 많고 그런데 심리학과를 전공하려면 무슨 과목을 위주로 해야할지 모르겠습니다,11
1535,솔직히 심리학과가 있는 대학에는 가천대 등 여러 대학이 존재하는데 심리학과를 가려면 무슨 과목을 중심으로 해야할지 모르겠다는 생각이 들었습니다,18
1536,제 진로는 아동심리상담사로 상담해주는 직업을 갖고 싶은데 심리상담사가 되려면 굳이 심리학과를 안따도 된다고 하지만 그래도 심리학과를 전공하는게 심리상담사 자격증을 따는데 더욱 도움이 될것이라 생각합니다,8
1537,심리학과에는 어디 대학이 있는지 무슨 과목을 중심으로 공부를 해야할지 고민이 됩니다,7
1538,수의학과 대학중 정시로 순의별로 매겨서 알려주실수 있을까요 어느 대학이 들어가기 더 힘든지 쉬운지 잘 모르겠어서 그리고 내가 하고자 하는 의지를 유지하기 위해선 어떻게 행동해야할까요 ,11
1539,제가 꿈이 웹디자이너인데 시각디자인과를 갈려면 고등학교때 어떤 과목을 중심을두고 공부를 하고 고등학교때 어떤 자격증들을 따놔여지 대학 갈때 좋은지 모르겠어서 상담을 받아보고 샆습니다,8
1540,제가 등급이 78등급 정도 나오고 있는데 고2이고 현재 대학을 가야 할지 아니면 3학년때 할 수 있는 고교위탁으로 가야 할지 고민이 많이 됩니다,10
1541,이 성적으로 대학 갔을때 괜히 시간만 버리는건 아닐지 걱정이고요 참고로 제가 하고싶은 직업은 미용사 입니다,8
1542,위탁을 가게 된다면 지금부터 필기 준비해서 3학년때 실기에 집중하려구요,10
1543,어떻게 하면 좋을까요,15
1544,제가 실내 디자인과가 가고싶은데 디자인과에서 실기를 보는지 알고싶은데 아무리 찾아도 확실한 답이 안나오더라구여 ,14
1545,미술학원 한번도 안다,14
1546,녀봣는데 디자인쪽으로 가도될지 고민이에요,2
1547,15살인데 아직까지 구체적인 진로를 정하지 못했어요,10
1548,좋아하는 것들은 진로와는 관련이 없는 것들 투성이고 잘하는 것이라고 해도 특출나게 잘하는 것도 아닌데 잘한다고 하기도 애매해서 제가 무엇을 하고 싶은지 모르겠어요,7
1549,그래서 가만히 있지만 말고 뭐든 해보자 하는 마음으로 진로 흥미 검사 직업 흥미 검사 등등 여러가지를 해봤는데도 확실하게 마음이 잡히지 않아요,13
1550,꿈이 정해진 사람들을 보면 부럽고 막 존경스러울 정도인데 저는 정작 저에 대해 잘 알지도 못하는 것 같아서 불안합니다,8
1551,진로를 정해야 내년에 고등학교 준비도 할 텐데,11
1552,너무 머리가 어지러워요 어렸을 때도 딱히 하고 싶었던 게 없었던 것 같아요,18
1553,장래희망을 쓰라고 하면 늘 이유 쓰기 좋은 것들을 썼지 깊게 생각하진 않았던 것 같아요,11
1554,그냥 당장 눈 앞에 놓여진 일들을 해치우기 바쁘지 진로를 생각할 생각은 해보지 못한 것 같아요,8
1555,주변에서 막 이것저것 말해주는데도 딱히 마음에 드는 게 없어요,13
1556,알아요,1
1557,천직인 직업을 찾는 건 하늘에 별 따기인 거 아는데도 욕심이라는 게 정말 끝이 없는 것 같네요,14
1558,너무 힘듭니다,13
1559,불안하고 괜히 초조하고 저 어떡하죠,16
1560,특성화고등학교에 다니고 있는 1학년 입니다,3
1561,지금 계획은 대학교에 다녀서 공부를 할려 하는데 어느 대학교가 좋은지 어떻게 갈지가 궁금해요,7
1562,대학교 추천좀 해주세요,14
1563,또 전 현장직으로 가서 사람들을 구하고 싶은데 그것에 맞는 학과를 잘 모르겠어요,13
1564,안녕하세요,4
1565,저는 14살 중학교 1학년 학생입니다,3
1566,평소에도 진로에 관심이 많았고 그래서 진로와 직업이라는 과목에 많이 끌렸던것 같아요,13
1567,교과서에 내용대로 커리어넷에서 검사 받고 결과도 작성해보는데 전 예전부터 제 방을 꾸미고 디자인하는데 관심이 있었거든요,14
1568,그래서 저는 인테리어 디자이너가 되고 싶었어요,17
1569,그래서 막 인테리어 디자이너에 대해서 조사도 하고 영상도 보고 그랬던것 같아요,8
1570,그런데 이 검사에서 1위가 사회형으로 무슨 복지 그런게 나왔어요,2
1571,제가 사실 친구들 상담 해주는것도 좋아하고 상담 받는것도 좋아하고 제가 친구들에게 조언을 좀 많이 해주는 편이거든요,13
1572,그래서 제가 상담가도 많이 끌렸던것 같아요,14
1573,그래서 더 고민인게 제가 잘하는걸 하는게 좋을까요 관심있는걸 하는게 좋을까요,15
1574,아니면 두개 할 수 있는 방법은 없을까요,18
1575,전 상담가도 좋고 인테리어 디자이너도 좋은데 제가 결정장애도 심하고 다른사람에게 의존하는 편이어서 쉽게 결정할 수 없을 것 같아요,0
1576,좋은 조언 부탁드립니다,6
1577,들어주셔서 감사합니다,16
1578,안녕하세요,4
1579,저는 경북소프트웨어고등학교를 가고싶은 학생입니다,19
1580,그런데 어떤식으로 준비해야하고 제가 성적평균이 70정도 되는데 이점수로 못갈텐데 어떻게 하면 좋을지 조언좀 부탁드립니다,8
1581,또포트플리오 같은걸 어떤식으로 준비 해야할까요,5
1582,에,16
1583,안녕하세요,4
1584,요즘 심리쪽에 관심이 많은 여중생이에요,14
1585,제가 이 진로를 결정하게 됄 줄은 몰랐는데 몇년전부터 친구들이 고민상담을 너무 잘해준다고도 했고 저도 애들 얘기를 들어주고 위로해주는게 한편으론 뿌듯했고 도움이 돼면 좋겠다고 생각했었거든요,8
1586,근데 뭐부터 해야할지 모르겠어요,15
1587,제가 학교 위클래스에서 근무하는게 제 목표인데,8
1588,그 과정에서 전문상담교사 2급을 따야하더라고요,9
1589,대학을 가서 교직이수를 받아야하고요,13
1590,그리고 임용고시도 봐야돼고 이런 과정들은 알겠는데 중1인 저는 뭐부터 해야할지 모르겠어요,10
1591,선생님들은 진로를 중1때부터 준비하는게 더 편할거라고 하시기도 하시고 학교에서 상담사로 일하려면 무슨 과목을 잘해야하는지도 모르겠어요,5
1592,그냥 아무일없이 공부만 하는 것도 목표를 모르니까 답답할 것 같고 뭐부터 해야하는게 적당할까요,11
1593,4차 산업 혁명 시대에 대비해 정보 통신 쪽에 관련된 직업군을 찾다가 문득 궁금증이 일어 상담신청합니다,0
1594,이 분야의 직업군들과 이걸로 취업을 하게 된다면 어느 학과가 유용한지 취업은 어떠한 방식을 통해 할 수 있는지 알려주세요,18
1595,현재 전라남도 인문계 고등학교 재학중인 고1입니다,3
1596,지금 연대 성대 고대 반도체 시스템 공학과에 진학하고 싶습니다,14
1597,현재 내신은 17정도 나오고 있습니다,2
1598,이제 2학년이 되는 만큼 선택과목에 대한 걱정과 어떻게 학습을 해야하는 지 잘 모르겠습니다,10
1599,조언 부탁드려요,16
1600,경찰시험 준비 및 이후경찰 생활중 단점,9
1601,이제 고등학교를 어디로 진학해야하는지 확실히 정해야 하는데 저는 생각하고있었던 진로가 약사였는데 저희 아버지는 병원행정과를 가도 괜찮겠다고 말씀하셨습니다,11
1602,두 직업의 장단점때문에 고민입니다,17
1603,또한 고등학교를 어디로 가야할지,15
1604,친구를 따라 일반고를 진학해 약사를 하냐 유리하게 가기위해 특성화고를 진학해 병원 행정과로 가느냐가 너무 고민 됩니다,11
1605,안녕하세요,4
1606,서울에 살고있는 중3여학생입니다,19
1607,제가 IT분야에 관심이 생겨서 자격증도 찾아보고 관련 학과도 찾아보고 있어요,13
1608,대학교를 IT관련 학과로 가는데 디미고 가는게 도움이 될까요,17
1609,제가 살고있는 거주지 근처에 있는 디지털미디어고는 학생들이 학교의 목적에 맞지 않게 생활하는 모습을 많이 보고 들어서 갈 엄두가 안나요,9
1610,그렇다고 저 멀리에 있는 디미고를 가기에도 힘들고 디미고가 컴공과 진학에 도움이 되는건 맞죠,14
1611,곧 중간고사 끝나면 특목고는 원서 내야하는데 너무 고민되는거같아요,8
1612,안녕하세요,4
1613,저는 고3인데 평소에 드론과 영상 만들기를 좋아하고 관심사입니다,19
1614,진로를 드론 쪽으로 정하기는 했는데 맞는 길 인지도 모르겠고 전문대 쪽으로 갈려고 하는데 지원한다 해도 합격한다는 보장도 없고 불안해서 만약 합격해도 드론을 배워서 갈 수 있는 진로도 아직 잘 모르겠고 최대한 대구를 벗어나지 않는 대학으로 가고 싶은데 어디가 가장 적응하기 좋고 배우기 좋을지 모르겠어서 상담 신청을 하게 되었습니다,18
1615,전자제품 생산조립 쪽으로가고싶긴한데 제가 갈수있을지도 아직모르겠고 자격증도 누군가알려줘야 열심히하는스타일이라 어떻게 직업진로를 결정할지모르겠어요 고1입니다,18
1616,전기공학과를 전공해 자율주행 자동차 엔지니어를 꿈꾸는 학생입니다,9
1617,자율주행 자동차 엔지니어가 되기 위해서 전기공학과에서 자세하게 어떤 것을 배우면 좋을까요,14
1618,안녕하세요,4
1619,진로를 계속해서 고민하고있는 중3 학생입니다,10
1620,뇌과학 관련 분야가 재밌는데 관련 직업을 찾기 어렵더라고요 그러다 생각난게 정신과 의산데요 정신과 의사도 생각하고 있는데 만약 정신과의사가 된다면 상담말고 연구쪽으로도 갈 수 있나요,14
1621,연구를 한다면 굳이 의대에 나올 필요가 없을까요,0
1622,의대를 나오지 않는다면 다른 과를 선택해서 연구원으로도 정신과 의사가 연구 하는 난이도의 연구들을 할 수 있을까요,11
1623,뇌과학과 관련된 다양한 진로들을 알려주세요,13
1624,신경회로망연구원같이 다른 분야와 융합된 진로도 좋을 것 같아요,13
1625,최대한 많이 알려주시면 감사하겠습니다,14
1626,오늘도 파이팅하세요,5
1627,선생님 ,2
1628,사진 찍는걸 좋아해서 사진사가 되어보고싶었는데 반대합니다,0
1629,너무 힘들고 슬프고 화나는데 제가 좋아하는 걸 하고싶은데도 못하게 하는 부모님을 어떻게 해야할지 모르겠어요,15
1630,사회복지사는 괜찮다고 하셨는데,10
1631,사진사라고 하니까 욕을 하시더라고요,5
1632,제 꿈이 그렇게 잘못된 꿈입니까,13
1633,취미로도 하고싶어하지만 더 배워서 하고싶어요,15
1634,사진 카메라가 비싸다고 난리치셨는데 저는 제 돈으로 모아서 카메라를 사고싶어요,16
1635,저어떻게 해야할까요,15
1636,안녕하세요,4
1637,저는 중3 학생입니다,3
1638,일단 저는 현재 생각중인 고등학교는 2군데가 있지만 아직 정확하게 선택을 하지 못한 상태입니다,10
1639,제 진로에 관련된 고등학교를 가야한다는 생각이 있지만 아직 딱히 생각하는 직업이 있지 않습니다,1
1640,이런 상황에서는 어떻게 해야할지 고민스러워요,5
1641,안녕하세요,4
1642,성우를 꿈꾸는 학생입니다,19
1643,초등학교 고학년 부터 성우의 대해 관심이 생겼습니다,14
1644,성우의 대해서 많이 찾아보고 성우님들을 보거나 안소연 성우님의 책을 읽어보면서 성우 공부를 해왔습니다,14
1645,성우의 대해 많이 알고있고 성우분들도 보면서 희망감을 가지고 있습니다,13
1646,중학생은 성우 체험활동을 하는 것을 찾기 힘들더라고요 성우체험 활동을 해보고 싶습니다,8
1647,그리고 성우를 꿈꾸고 있는데 한국예술원한예진 등등 성우학과가 있는데 대학교 대신 저 학교들을 가도 괜찮을까요,6
1648,성우 경쟁률이 워낙 힘들어서 저 학교들을 졸업하고 성우 외에 취업 하기에는 문제가 없을까요,8
1649,혼자서 발음 발성을 공부 하고 있는데 다른 공부 할 것도 필요한가요,5
1650,감사합니다,6
1651,안녕하세요,4
1652,저는 고등학교를 준비하는 중학교 3학년입니다 하고싶은 것도 그닥 없고 잘하는 것도 없는데 진로를 결정해야 할지 모르겠습니다,15
1653,진로 결정을 잘 하는 방법과 후회없는 결정을 하는 팁을 알려주세용,7
1654,음 저는 평범한 중3 학생입니다,3
1655,제가 기타로 버클리 음대를 가고 싶은데 갈 수 있을까요,14
1656,그리고 버클리 음대에 가려면 필요한 것이 무엇이 있을까요,6
1657,현재 인문고에 다니고있는 고 1 남학생입니다,19
1658,제가 아이돌 가수의 꿈을 키우며 전남예술고에 전학을 가고싶은데 어떻게 해야될지를 잘 모르겠습니다,8
1659,예술고에 전학가는방법 갈수있다면 가는 방법과 성적은 어느정도 보는지 알려주시면 감사하겠습니다,17
1660,하고싶은건 많은데 공부가 문제네요 하고싶지 않고 못하는데 그놈에 공부를 공부말고 다른거 하고싶은데 진로 찾기가 힘드네요,7
1661,운동이 좋은데 요즘은 운동 관련된것도 공부를 해야된다고 해서 고민이 너무 많습니다,7
1662,머리가 나쁘진 않은데 그냥 공부가 하고싶지 않은데 우얘할까요,11
1663,패션모델이 꿈인 저는 아직 대학교를 희망하는 상황이 아닌데 뭘 어떻게 해야 할지 마음이 너무 복잡해요,7
1664,안녕하세요,4
1665,전 중학교 1학년 14살 여학생입니다,3
1666,중학생이 되면서 어떻게 진로를 정해 나가야 할지 고민이 많이 됩니다,18
1667,저는 고등학교를 서울국제고등학교를 희망하고 있습니다,2
1668,국제고등학교에 다니면서 제 꿈을 넓게 헤쳐나가고 싶습니다,2
1669,먼저 저는 해외경험이 없고 영어를 그리 유창하고 술술 자연스럽게 나올 수 있는 실력은 아닙니다,14
1670,중학교 영어는 올 a 받을 수 있는 정도는 될것 같지만 이 실력으로 국제고등학교에 입학하면 아무래도 힘들지 않을까 걱정도 됩니다,10
1671,1 이런 경우에도 국제고등학교에 들어갈 수 있을까요,2
1672,제가 이렇게 도움을 구하는 이유는 제게 알맞은 직업을 추천해주시면 좋겠어서 입니다,18
1673,아직 저는 장래희망을 정하지 못했습니다,15
1674,제가 들어갈 수 있을지는 모르겠으나 일단 희망고등학교는 정해진 상태에서 아직 꿈을 정하지 못했다는 사실이 마음을 급하게 합니다,7
1675,구체적인 장래희망을 정하고 앞으로의 나의 미래를 설계하면 국제고등학교에 들어가서도 왠지 마음이 일단 놓일것 같고 면접에도 도움이 될 것 같습니다,14
1676,먼저 저는 리더십이 있고 지금까지 회장전교부회장 등을 맡아서 리더역할을 많이 했습니다,6
1677,나서서 우두머리가 되서 이끄는 것을 좋아하고 경쟁심이 되게 큰 편입니다,6
1678,그리고 글을 쓰는 것과 책을 읽는 것을 좋아합니다신문부 동아리 약간 내가 먼저 사건을 이해하고 판단하려고 하는 스타일이라고 할 수 있습니다,11
1679,일단 수학을 못하는 것은 아니지만 이과보다는 문과쪽인것 같습니다어차피 요즘은 이런 구분 필요없지만 뭔가 국제고등학교를 희망하는 학생으로서 국제관련이나 외국어를 사용하면 유리한 직업을 추천해주셨으면 좋겠습니다,8
1680,전에 제가 말했던 이야기들을 참고해서요,5
1681,사실 저도 제가 원하는 직업을 찾기 위해 열심히 검색도 해보고 노력해봤습니다,13
1682,근데 제가 원하는 구체적인 직업을 찾기는 매우 힘들었습니다,2
1683,약간 법학이나 인문계열 직업에 관심이 있어서 그쪽 위주로 몇가지 추려서 알려주시면 정말정말 감사하겠습니다,14
1684,그리고 전 학원을 영어 빼고 다니지 않습니다,2
1685,2약간 국제고등학교 입학이나 국제관련 직업을 얻기 위해서 영어 말고 더 다녀야 학원이 있을까요 3그리고 국제관련직업을 얻기 위해서 더 심화된 공부를 해야하거나 특별히 잘하면 좋은 과목이나 공부등이 있을까요 4아님 국제고등학교를 다니면서 준비하거나 국제관련쪽 직업을 얻기 위해서 가면 좋은 학과는 뭐가 있을까요 5인문계열이나 법학 쪽 국제관련 직업에는 뭐가 있을까요,2
1686,직업이나 학과 알려주실 때는 뭉텅이로 큰 주제로 알려주시는 것 보다 자세하고 구체적이게 알려주시면 감사하겠습니다,13
1687,저 정말 급합니다,6
1688,아직 자유학년제라 시험은 안보지만 시험보기전에 구체적인 장래희망이나 학과 희망 학교 등을 정해놓고 앞으로의 미래를 바라본다면 시험공부나 평소에도 동기부여를 받을 수 있을 것 같습니다,2
1689,앞에 제가 부탁한 5가지 질문들을 꼭 답해주시면 감사하겠습니다,6
1690,상담 제발제발 부탁드립니다,16
1691,앞으로 자주 상담신청하겠습니다,11
1692,집안 형편이 좀 그래서 중학교 때 수학을 아예 손 놓고 있다가 고1 기말 한 달 전부터 학원 다니면서 수학을 다시 하기 시작했거든요,8
1693,그래서 고1 중간은 7등급 기말은 5등급 해서 1학기 수학이 6등급이 떴는데 문과 가면 답없다,9
1694,이런 말들이 너무 많아서 수학을 못하는데도 이과를 가야만 하나 싶어요,18
1695,수학을 한 세 달정도 공부한 것 같은데 지금까지는 할만 하고 점점 재밌어질 것 같긴 한데 그래도 이과 가면 다른 애들 다 깔아줄까봐 걱정이구요,11
1696,아직 꿈도 없어서 더 모르겠어요,1
1697,세특 관련된 활동 할 땐 다 이과랑 관련된 걸로 썼어서 문과를 가면 그게 좀 아까울 것 같기도 하고 한번만 도와주세요,8
1698,제가 영천 금호에서 친할머니와 저희 가족과 같이 살다가 초등학교 4학년때 저희 가족이 외할머니댁으로 내려와서 살고있습니다친할머니와 저희가족 관계 문제없음 그리고 중학교 3학년이 된 후 제가 혼자 금호에 가서 할머니와 같이 살며 고등학교를 다니려는데 금호하양 주변 고등학교 좀 알려주세요,9
1699,그리고 그쪽 지역은 어떻게 학생들을 선발 하는지 알려주시고 추천해주시는 고등학교에 스포츠클럽 농구부가 있는지도 알려주세요,8
1700,내신으로 가는거라면 커트라인도 알려주세요3학년 1 학기 내신 66퍼,19
1701,공부도 그럭저럭 상위권유지하고 꿈이 없는 학생인데요 상담사 심리학 쪽에 관심이 생겨서 이렇게 신청해봅니다,13
1702,이야기를 들어주고 조언해주는걸 좋아하고 확실하진 않지만 적성에 맞을거 같아요,14
1703,하지만 그쪽에 대해 아직 아는게 없습니다,1
1704,상담사의 종류 연봉 하는일 되는법 등등 여러개의 궁금한점이 있어요,0
1705,알려주시면 감사하겠습니다,14
1706,안녕하세요,4
1707,경북에 거주하고 있는 고2입니다,19
1708,다름,6
1709,아니라 제가 고민이 있어서요제가 출판 편집자를 꿈으로 잡고 있어요,14
1710,거기서도 교정 교열을 주로 하는 편집자랑 책의 전체적인 디자인을 맡는 북 디자이너로 나뉘더라고요,6
1711,저는 솔직히 다 하고 싶은데 관련 학과가 다르니까 고민이 되더라고요,7
1712,우선적으로 생각하는 건 편집자예요,11
1713,제가 주변에서 의외로 꼼꼼하다는 말도 듣고 교정 교열하는 작업이 재밌을 것 같더라고요 하면 재미는 있겠지만 문제가 편집자가 미래 전망이 안 좋다고 하더라고요,0
1714,디지털이 많이 발전하면서 책 사서 읽는 사람도 줄고 있고 많이 힘들다고 하던데 제 흥미와는 별개의 일이잖아요,0
1715,직업으로 갖기엔 임금도 약하다고 하더라고요,11
1716,그래서 이쪽으로 가려면 계명대 문예창작학과를 생각 중인데 문예창작학과가 광고나 소설이나 이런 쪽으로도 관련이 있으니까 졸업하면 선택의 폭이 넒을 것 같아서 일단 이렇게 생각 중이에요,14
1717,편집자 전망을 깨닫고 다시 알아본 게 북 디자이너예요,6
1718,일반 편집자랑은 다르게 미래 전망도 좋고 임금도 평타는 치는 것 같더라고요,14
1719,제가 아이디어는 많지만 손재주가 그렇게까지 뛰어나진 않고 중상위 정도라고 생각하거든요,2
1720,작년에 포스터 부문으로 동상을 하나 탔어요,16
1721,이런 부분에서도 유리하지 않을까 싶어서 관련 학과는 영남대 시각디자인과로 생각 중이에요,14
1722,근데 시각디자인과는 실기가 있어라구요 저는 미술을 진지하게 배운 적이 없어서 실기로는 지원 못할 것 같고 실기 아니면 정시가 있더라구요,8
1723,정시도 제가 자신이 없어요,1
1724,모의고사 결과 볼 때마다 충격먹고요,16
1725,수시는 그래도 나름 사탐 괜찮게 쳐서 괜찮은데,9
1726,이 상태라면 편집자가 저에게 맞는 거겠죠,6
1727,출판사가 몇 년재 불황이라고 하던데 진로 고민 때문에 혼자 앓으면 스트레스 너무 받아가지고 이렇게 상담 신청해요,8
1728,제가 쓰다보니 횡설수설하게 됐는데 도움되는 답변이었으면 좋겠어요,8
1729,감사합니다,6
1730,안녕하세요,4
1731,저는 05년생 김민지입니다,19
1732,2주전 까지는 제가 아이돌 지망생이었어요,4
1733,그런데 제가 나이도 조금 늦었고 가능성도 별로 없는거 같고 부모님께서 한달에 27만원씩 투자를 하셔서,0
1734,제가 아이돌을 포기하고 다시는 아이돌을 하지말아야겠다는 생각이 들었어요,11
1735,근데 갑자기 오늘 아이돌을 또 다시 하고 싶다는 생각이 들어서요 엄마아빠께 뭐라고 날을 꺼내야할지 너무 고민이네요,0
1736,그냥 아이돌 포기하고 사육사할까요,14
1737,하지만 사육사는 19살때 지원이 가능하다고 들었는데 아이돌은 지금 한시가 급한데 너무 고민이 되어서 상담신청해요,14
1738,그리고 제가 지방지역에 살아서 온라인 오디션반 이라는 온라인으로 하는 오디션을 했었다가 그만두었는데 다시 온라인 오디션반을 해야할까요,0
1739,한번 무대에 서보고싶긴한데,14
1740,체대준비를 하다가 미래가 보이지 않아 포기하고 승무원 혹은 항공정비나 호텔경영이나 식음료학과를 보고있는 중입니다,14
1741,어떻게 해야 할지 잘 모르겠어요,12
1742,그래서 상담을 신청합니다,15
1743,내신은 거의 반 포기 상태라서 더는 안 할 생각입니다,10
1744,평균 6정도이고 수학국어영어는 5 나머지는 또는 5또는 7모고는 전체적으로 4 가끔 국영수 3승무원은 거의 내신으로 뽑고 정시는 없다는데 둘다 준비해야 할까요 ,2
1745,아직 확신이 없어서 잘 모르겠네요,1
1746,따로 1대1 상담도 있나요,2
1747,안녕하세요,4
1748,곧 고등학교에 진학하는 현재 중3인 학생입니다,3
1749,고등학교에 들어가기 전에는 제 진로에 대해 생각해보고 어느정도 진로를 정하고 싶은데 제가 딱히 잘하는 것도 없고 확 끌린다는 느낌을 받은 직업도 없어서요 이렇게 상담 신청합니다,18
1750,예전에는 막연하게 교사 변호사가 되고 싶었는데 요즘은 생각이 바뀌어서 자연계열쪽으로 직업을 선택하고 싶어요,13
1751,그런데 저는 인문계열의 교과목을 조금 더 잘하는 것 같아서 더 고민이 되는 것 같아요,18
1752,진로와 직업을 결정하고 싶어서 여러 검사도 진행해봤지만 아직도 고민이 되네요,1
1753,도움을 받고 싶어서 상담 신청했습니다,7
1754,중학생이 생각해 봤는데 제가 좋아하는 것도 모르겠고 잘 하는 것도 모르겠고 그래서 상담을 받으려고요,7
1755,안녕하세요,4
1756,평소에 있던 진로에 대한 고민이 점점 더 커져가서 상담 받아보려고 합니다,18
