,0,1,index,result,dbs1,result2,dbs2,result3,dbs3,result4,dbs4,result5,dbs5,result6,dbs6,result7,dbs7,result8,dbs8,result9,dbs9,result10,dbs10
4600,제가 어떻게 하는게 좋을까요  ,"['어떻다', '하다', '좋다']",4606,0,0,5,4,,,,,,,,,,,,,,,,
4609,마이스터고등학교에 다니는 1학년입니다,"['마', '이스터', '고등학교', '다니다', '학년', '이다']",4615,0,0,-1,0,1,1,,,,,,,,,,,,,,
4611,한국과학기술원이 목표인 고1입니다,"['한국', '과학기술원', '목표', '고', '이다']",4617,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,18,18,,
4615,안녕하십니까,['안녕하십니까'],4621,15,1,,,,,,,,,,,,,,,,,,
4616,저는 고등학생 1학년입니다,"['고등학생', '학년', '이다']",4622,0,0,-1,0,1,1,,,,,,,,,,,,,,
4620,안녕하세요,['안녕하다'],4626,1,1,,,,,,,,,,,,,,,,,,
4621,마고 학생입니다,"['마고', '학생', '이다']",4627,0,0,-1,0,1,1,,,,,,,,,,,,,,
4622,제가 희망하는 직업이 많은데 그 분야가 저한테 잘 맞고 제가 거기에 갈수있을지 걱정이됩니다,"['희망', '하다', '직업', '많다', '분야', '자다', '맞다', '거기', '갈다', '걱정', '되다']",4628,0,0,-1,0,0,0,0,0,11,11,,,,,,,,,,
4627,그리고 제가 가고싶은 기업는 포스코입니다,"['가다', '기업', '늘다', '포스코', '이다']",4633,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,10,10,,
4628,현재 경북기계공고를 재학중인 1학년 학생입니다,"['현재', '경북', '기계공', '고르다', '재학', '학년', '학생', '이다']",4634,0,0,-1,0,1,1,,,,,,,,,,,,,,
4630,안녕하세요,['안녕하다'],4636,1,1,,,,,,,,,,,,,,,,,,
4631,좋은 대기업이나공기업에 취직하고싶은 학생입니다,"['좋다', '대기업', '공기업', '취직', '하다', '학생', '이다']",4637,0,0,-1,0,-1,0,0,0,12,12,,,,,,,,,,
4635,읽어주셔서 감사합니다,"['읽다', '감사하다']",4641,3,2,,,,,,,,,,,,,,,,,,
4636,현제 마이스터고에 다니고있는 고딩입니다,"['마이스터고', '다니다', '고딩', '이다']",4642,0,0,-1,0,1,1,,,,,,,,,,,,,,
4641,공기업을 목표로 하고 있는 학생입니다,"['공기업', '목표', '하다', '학생', '이다']",4647,0,0,-1,0,-1,0,0,0,12,12,,,,,,,,,,
4644,저는 고3학생입니다,"['고', '학생', '이다']",4650,0,0,9,5,,,,,,,,,,,,,,,,
4646,학교가 4시에 끝나서 당구을 배우러 가면 보통 6시정도인데 그러면 당구장에서 손님이 많아서 당구를 잘 못배웁니다,"['학교', '끝나다', '배우다', '가면', '보통', '구장', '손님', '많다', '당구', '자다', '배우다']",4652,0,0,-1,0,-1,0,41,41,,,,,,,,,,,,
4649,학교 선생님한테서 그렇게 말햤더니 조퇴는 가능한데 미인정 조퇴로 기록 된다고 나중에 대학 갈때 불리 하더라고 하더라고요 지금 고3인데 학교 출결이 1학기만 들어가는지 아니면 2학기도 들어가는지 잘 모르겠어요,"['학교', '선생님', '서다', '말햤더', '조퇴', '가능하다', '미인', '정', '조퇴', '기록', '되다', '나중', '대학', '갈다', '불리', '하다', '하다', '지금', '고', '학교', '출결', '학기', '들어가다', '아니다', '학기', '들어가다', '자다', '모르다']",4655,0,0,-1,0,29,29,,,,,,,,,,,,,,
4652,그렇다고 또 고3이라는큰 학년에서 조퇴도 결코 쉽지가 않습니다,"['고', '크다', '학년', '조퇴', '결코', '쉬다', '않다']",4658,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,2,2
4653,어떻게 하나여,['어떻다'],4659,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,19,19
4658,그래서 장래희망에 관련된 고등학교를 찾다보니 관련고등학교 중에서도 가장 가까이 위치한 한국애니고라는 결론에 도달하였습니다 하지만 조사해보니 한국애니고는 성적과 실력을 모두 중시하며 경쟁률도 높은학교였습니다,"['장래희망', '관련', '되다', '고등학교', '찾다', '보다', '관련', '고등학교', '중', '가장', '가까이', '위치', '한국', '애니', '고라', '결론', '도달', '하다', '조사', '해보다', '한국', '애니', '고', '성적', '실력', '중시', '하다', '경쟁률', '높다', '학교', '이다']",4664,0,0,-1,0,44,44,,,,,,,,,,,,,,
4683,저는 현재 전기 전자과 보다는 기계과 안에서 정하려고 하는 중입니다,"['현재', '전기', '기계', '안', '정', '하다', '하다', '중', '이다']",4689,0,0,-1,0,6,6,,,,,,,,,,,,,,
4686,안녕하세요,['안녕하다'],4692,1,1,,,,,,,,,,,,,,,,,,
4687,경북기계공업고등학교에 재학중인 1학년 학생입니다,"['경북', '기계', '공업고등학교', '재학', '학년', '학생', '이다']",4693,0,0,-1,0,1,1,,,,,,,,,,,,,,
4693,어떻게 해야 할까요,"['어떻다', '하다', '하다', '요']",4699,0,0,7,4,,,,,,,,,,,,,,,,
4695,그리고 내가 남들과 다른점이 있다면 어떻게 해야하나요,"['내', '남', '점', '어떻다', '하다']",4701,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,
4696,기계전자 등을 배우는 학교인데 기계 쪽 관심이 있어서 기계 관련된 직업기업 등을 알고 싶고이외 다른 일반려동물 관련등을 할수있을까요,"['기계', '배우다', '학교', '기계', '쪽', '관심', '기계', '관련', '되다', '직업', '기업', '알', '싶다', '이외', '반려동물', '관련', '하다']",4702,0,0,-1,0,-1,0,0,0,-1,0,14,14,,,,,,,,
4702,이런 우주탐사선을 만드는 직업은 무엇인가요,"['이렇다', '우주', '탐사선', '만들다', '직업']",4708,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,15,15
4705,저는 중3 여학생입니다 307전 부터 메이크업 아티스트와 특수분장사가 되고 싶었어요,"['중', '여학생', '이다', '전', '메이크업', '아티스트', '특수분장', '사가', '되다', '싶다']",4711,0,0,-1,0,-1,0,0,0,-1,0,18,18,,,,,,,,
4709,어떻게 하죠,"['어떻다', '하다']",4715,0,0,36,4,,,,,,,,,,,,,,,,
4717,그러던 중 작년 말부터 간호학과에 호기심이 생겨 많은 것을 알아보던 중 나의 적성과도 잘 맞겠다는 생각이 들어 새로운 꿈으로 자리잡게 되었어요,"['그렇다', '중', '작년', '말', '간호', '학과', '호기심', '생기다', '많다', '알아보다', '중', '적성', '자다', '맞다', '생각', '들다', '새롭다', '꿈', '자리', '잡다', '되어다']",4723,0,0,-1,0,-1,0,0,0,-1,0,22,22,,,,,,,,
4720,최후의 수단으로 아동과 관련된 학과들도 많이 생각을 해본 적이 있는데 제가 좋아하고 관심있는 것과 취업 모두 함께 생각하다보니 지금 이 시기에 이런 고민을 다시 하게 되었어요,"['최후', '수단', '아동', '관련', '되다', '학과', '생각', '해보다', '적', '좋아하다', '관심', '취업', '생각', '하다', '보다', '지금', '시기', '이렇다', '고민', '다시', '하다', '되어다']",4726,0,0,-1,0,0,0,0,0,0,0,0,0,26,26,,,,,,
4724,근데 저는 현재 고등학교를 다니고 있는 고1학생입니다,"['현재', '고등학교', '다니다', '고', '학생', '이다']",4730,0,0,-1,0,1,1,,,,,,,,,,,,,,
4732,나의 진로는 원래 간호사였는데 간호사 꿈을 접었다,"['진로', '원래', '간호사', '이다', '간호사', '꿈', '접다']",4738,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,20,20
4734,근데 그동안 간호사 말고는 생각한게 없어서 생각 나는 직업이 없어서 매우 고민이다,"['그동안', '간호사', '생각', '게', '없다', '생각', '직업', '없다', '매우', '고민']",4740,0,0,-1,0,-1,0,0,0,-1,0,21,21,,,,,,,,
4735,좋은 답변 부탁드려용  꺄륵,"['좋다', '답변', '부탁드리다', '꺄륵']",4741,11,3,,,,,,,,,,,,,,,,,,
4739,중학교2학년여학생입니다,"['중학교', '학년', '여학생', '이다']",4745,0,0,38,5,,,,,,,,,,,,,,,,
4740,무슨일이든자신감도없고학업에있어서도공부방법을잘몰라열심히해도제가원하는성적도안나옵니다그리고딱히꿈도없어서목표가없어요,"['일이', '자신감', '없다', '학업', '공부', '방법', '자다', '모르다', '해', '도제', '원하다', '성적', '도안', '나오다', '딱하다', '꿈', '없다', '목표', '없다']",4746,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,22,22,,
4742,도와주세요,['도와주다'],4748,12,4,,,,,,,,,,,,,,,,,,
4752,저는 호텔리어 직업 중 식음료분야에 관심이 있는 저한테 맞는 직업인지 궁금해요,"['호텔리어', '직업', '중', '식', '음료', '분야', '관심', '맞다', '직업', '궁금하다']",4758,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,8,8,,
4753,안녕하세요 고1여학생입니다,"['안녕하다', '고', '여학생', '이다']",4759,0,0,-1,0,1,1,,,,,,,,,,,,,,
4757,동물랭글러가 되기 위해 어떤 대학 학과를 가야하며 어떤 고등학교를 가서 어떤 공부를 해야 하는 지 좀 알려주세요,"['물랭', '글러', '되다', '위해', '어떻다', '대학', '학과', '가야', '하다', '어떻다', '고등학교', '가다', '어떻다', '공부', '하다', '하다', '지다', '알다']",4763,0,0,-1,0,0,0,0,0,7,7,,,,,,,,,,
4758,안녕하세요 고2 여학생입니다,"['안녕하다', '고', '여학생', '이다']",4764,0,0,-1,0,1,1,,,,,,,,,,,,,,
4774,어떻게 하면 좋을까요,"['어떻다', '하다', '좋다']",4780,0,0,5,4,,,,,,,,,,,,,,,,
4779,제 진로를 위해서 대학을 가는것이 좋을까요,"['진로', '위해', '대학', '가다', '좋다']",4785,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,8,8,,
4782,대구 쪽 운동관련 저는 보디빌딩피트니스 쪽으로 가고 싶습니다 대학교나 과를 알려주시면 감사할 거 같습니다,"['대구', '쪽', '운동', '관련', '보디빌딩', '피트니스', '쪽', '가다', '싶다', '대학교', '알다', '감사하다', '거']",4788,0,0,-1,0,-1,0,0,0,-1,0,43,43,,,,,,,,
4787,동기는 어릴적부터 곁에 있는 컴퓨터에 대한 꿈을 키웠기때문입니다,"['동기', '어리다', '적', '곁', '컴퓨터', '대한', '꿈', '키우다', '때문', '이다']",4793,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,28,28,,
4801,경기도에 사는 17살 소년입니다,"['경기도', '살다', '살', '소년', '이다']",4807,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,2,2,,
4803,중2 때부터 저의 희망진로는 중고등체육교사였습니다,"['중', '희망', '진로', '중고', '체육교사', '이다']",4809,0,0,-1,0,-1,0,0,0,-1,0,19,19,,,,,,,,
4821,그러다 어차피 지금 운동을 좋아하고 관심도 있고 해서 이쪽으로 진학이나 진로를 정하면 어떨까 라는 생각을 했습니다,"['그렇다', '어차피', '지금', '운동', '좋아하다', '관심', '하다', '쪽', '진학', '진로', '정', '하다', '어떻다', '생각', '하다']",4827,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,
4832,며칠 전에 외국에서 교사가 되는 법을 상담한 학생입니다,"['며칠', '전', '외국', '교사', '되다', '법', '상담', '학생', '이다']",4838,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,19,19,,
4838,미국초등교사를 중점으로 두고 생각하면 일단 영어영문학과를 진학해서 영어와 영어권문화에 대해 공부 후 미국유학을 준비해서 교직이수가 가능한 대학교를 가야하는 건가요,"['미국', '초', '등교', '사르다', '중점', '두다', '생각', '하다', '영어', '영문학', '진학', '하다', '영어', '영어권', '문화', '대해', '공부', '후', '미국', '유학', '준비', '하다', '교직이수', '가능하다', '대학교', '가야', '하다', '건가']",4844,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,11,11,,,,
4847,란 생각이 들어 질문드립니다,"['란', '생각', '들다', '질문', '드리다']",4853,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,49,49,,
4859,저는 방송pd를 꿈꾸고 있는 학생입니다,"['방송', '꿈꾸다', '학생', '이다']",4865,0,0,-1,0,1,1,,,,,,,,,,,,,,
4863,감사합니다,['감사하다'],4869,7,2,,,,,,,,,,,,,,,,,,
4864,안녕하세요,['안녕하다'],4870,1,1,,,,,,,,,,,,,,,,,,
4865,전 이제 고1이 된 학생입니다,"['전', '이제', '고', '되다', '학생', '이다']",4871,0,0,-1,0,2,2,,,,,,,,,,,,,,
4880,감사합니다,['감사하다'],4886,7,2,,,,,,,,,,,,,,,,,,
4881,수의학과 진학을 위해서 어떤 학교활동이 중요하고 어떤 과목이 중요한지 등 수의학과 관련 다양한 정보들을 알고 싶다,"['수의학', '진학', '위해', '어떻다', '학교', '활동', '중요하다', '어떻다', '과목', '중요하다', '수의학', '관련', '다양하다', '정보', '알', '싶다']",4887,0,0,-1,0,-1,0,36,36,,,,,,,,,,,,
4882,저는 올해 중3인 전주에 사는 여학생입니다,"['올해', '중', '인', '전주', '살다', '여학생', '이다']",4888,0,0,-1,0,1,1,,,,,,,,,,,,,,
4886,근데 문제는 제가 간호 장교 아니면 작가 아니면 사범대 쪽으로 진로를 정하고 싶어요,"['문제', '간호', '장교', '아니다', '작가', '아니다', '사범대', '쪽', '진로', '정', '싶다']",4892,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,13,13,,
4898,3년간 좋아하던 과목을 몇일만에 흥미없개 됬다는게 저는 정보도 별로 안 찾아보고 흘러가지는 사람이었어요,"['좋아하다', '과목', '일만', '흥미', '없다', '개', '되다', '정보', '별로', '안', '찾아보다', '흘러가다', '사람', '이다']",4904,0,0,-1,0,-1,0,0,0,-1,0,7,7,,,,,,,,
4904,근데도 잘 모르겠어요,"['데', '자다', '모르다']",4910,0,0,-1,0,-1,0,5,5,,,,,,,,,,,,
4909,어떻게 해야할까요,"['어떻다', '하다', '하다', '요']",4915,0,0,7,4,,,,,,,,,,,,,,,,
4919,라는 생각이 들었어요,"['생각', '들다']",4925,0,0,15,7,,,,,,,,,,,,,,,,
4921,혹시 있다면 어떤 과가 있을까요,['어떻다'],4927,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,19,19
4926,이과입니다,"['이과', '이다']",4932,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,4,4
4928,꿈이 없어요,"['꿈', '없다']",4934,0,0,39,14,,,,,,,,,,,,,,,,
4929,내가 원하는 직업찾기,"['내', '원하다', '직업', '찾기']",4935,0,0,-1,0,-1,0,0,0,-1,0,4,4,,,,,,,,
4941,저 어떡해야될까요,"['어떡하다', '되다', '요']",4947,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,23,23,,
4949,진로는 단지 성적일 뿐이고 좋은 대학을 가고 좋은 직장에 취직하고 좋은 가정을 이루는 것 일 뿐인가요,"['진로', '성적', '뿐', '좋다', '대학', '가다', '좋다', '직장', '취직', '좋다', '가정', '이루다', '뿐']",4955,0,0,-1,0,-1,0,0,0,-1,0,3,3,,,,,,,,
4953,아무리 찾아보아도 제 궁금증을 인터넷에서는 찾을 수가 없어 커리어넷에 여쭤보게 되었습니다,"['찾아보다', '궁금증', '인터넷', '찾다', '수가', '없다', '커리어', '여쭈다', '보다', '되어다']",4959,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,1,1,,
4954,안녕하세요,['안녕하다'],4960,1,1,,,,,,,,,,,,,,,,,,
4956,저보고 외교관이 되라고,"['보고', '외교관', '되다']",4962,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,16,16,,
4958,그리고 저는 제가 즐거워하는 일을 하고 싶거든요,"['즐겁다', '하다', '싶다']",4964,0,0,24,12,,,,,,,,,,,,,,,,
4963,생각중이기도 해요,"['생각', '해']",4969,0,0,-1,0,-1,0,0,0,24,24,,,,,,,,,,
4967,알려주세요,['알다'],4973,0,0,2,2,,,,,,,,,,,,,,,,
4972,그래서 학교선생님들과 좀 친근한 관계를 가지면서 이러고 저쩌한걸 여쭤볼수 있게되었습니다,"['학교', '선생님', '친근하다', '관계', '가다', '이르다', '쩌', '걸', '여쭈다', '보다', '되어다']",4978,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,19,19,,
4974,일단 제 담임선생님과 은사님들의 말씀을 듣고 교사라는 직업이 앞으로 힘들거다,"['담임', '선생님', '은사', '들다', '말씀', '듣다', '교사', '직업', '앞', '힘들다']",4980,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,33,33,,
4980,그래도 교사는 좀 저에게는 버겁고 또 사람들을 좋아하니까 사람들이랑 어떠한 관계를 맺는 직업을 가지고 싶기는한데 어떤 직업들이 있을까요,"['교사', '버겁다', '사람', '좋아하다', '사람', '어떠하다', '관계', '맺다', '직업', '가지', '싶다', '어떻다', '직업']",4986,0,0,-1,0,22,22,,,,,,,,,,,,,,
4981,바텐더를 하고 싶은 중3입니다,"['바텐더', '하다', '싶다', '중', '이다']",4987,0,0,-1,0,30,30,,,,,,,,,,,,,,
4985,안녕하세요,['안녕하다'],4991,1,1,,,,,,,,,,,,,,,,,,
4988,안녕하세요,['안녕하다'],4994,1,1,,,,,,,,,,,,,,,,,,
4989,상담신청 했는데요,"['상담', '신청', '하다']",4995,0,0,21,10,,,,,,,,,,,,,,,,
4990,저는 제 꿈을 혼자서 숨기고 있어요,"['꿈', '숨기']",4996,0,0,-1,0,26,26,,,,,,,,,,,,,,
4997,어떻게 해야 할까요,"['어떻다', '하다', '하다', '요']",5003,0,0,7,4,,,,,,,,,,,,,,,,
4998,안녕하세요,['안녕하다'],5004,1,1,,,,,,,,,,,,,,,,,,
4999,중학교 1학년 여학생입니다,"['중학교', '학년', '여학생', '이다']",5005,0,0,38,5,,,,,,,,,,,,,,,,
5005,꼭 저에 맞는 직업을 찾아주세요,"['꼭', '맞다', '직업', '찾다']",5011,0,0,-1,0,13,13,,,,,,,,,,,,,,
5006,예고 입시를 준비하고 있는 중학교 3학년입니다,"['예고', '입시', '준비', '중학교', '학년', '이다']",5012,0,0,-1,0,-1,0,1,1,,,,,,,,,,,,
5008,하지만 주변 어른들이 디자인은 박봉인데다가 취업이 잘 안 된다고들 많이 하시더라고요 저 또한 안정적인 직업을 원하는 데다가 디자인팀에 들어가는 것 까지 생각 해봤는데 지금까지 고민해왔던게 물거품이 된 것 같아요,"['주변', '어른', '디자인', '박봉', '다가', '취업', '자다', '안', '되다', '들다', '하다', '안정', '직업', '원하다', '데', '다가', '디자인', '팀', '들어가다', '생각', '해봤다', '지금', '고민', '해오다', '물', '거품', '되다']",5014,0,0,-1,0,0,0,0,0,9,9,,,,,,,,,,
5016,안녕하세요 고 3 재학중입니다,"['안녕하다', '고', '재학', '이다']",5022,0,0,-1,0,1,1,,,,,,,,,,,,,,
5018,수시로 가려고 합니다,"['가다', '하다']",5024,0,0,-1,0,0,0,0,0,29,29,,,,,,,,,,
5027,그리고 바이오 소재는 무엇을 연구하는 학문인가요,"['바이오', '소재', '연구', '하다', '학문']",5033,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,24,24,,
5028,또 신경세포 연구를 하려면 어느 과로 가야하나요 ,"['신경세포', '연구', '하다', '과로', '가다']",5034,0,0,-1,0,0,0,0,0,29,29,,,,,,,,,,
5030,저는 평소에 모든 과목에 두루두루 관심을 가져오던 학생입니다,"['평소', '모든', '과목', '두루', '두루', '관심', '가져오다', '학생', '이다']",5036,0,0,-1,0,-1,0,15,15,,,,,,,,,,,,
5035,혹시 위에 제목에 나와있는 교과로 어느 학과를 진학할 수 있으며 어떻게 해야 그 학과에 갈 수 있을까요,"['위', '제목', '나오다', '교과', '학과', '진학', '하다', '수', '어떻다', '하다', '학과', '갈다', '수']",5041,0,0,-1,0,0,0,0,0,7,7,,,,,,,,,,
5037,안녕하세요,['안녕하다'],5043,1,1,,,,,,,,,,,,,,,,,,
5038,저는 지방쪽에 살고있는 중3학생입니다,"['지방', '쪽', '살다', '중', '학생', '이다']",5044,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,4,4
5042,원래는 항공업쪽으로 계속 직업을 보다가 국제문화가 너무 재미있어서 천천히 알아볼려고 하는데 1외교관 말고도 다른 비슷한 직업등이 있을까요 2 외교관과 그 직업들이 될수있는 방법이 궁금해요,"['원래', '항공', '업쪽', '계속', '직업', '보다', '국제', '문화', '재미있다', '알아보다', '하다', '외교관', '직업', '외교관', '직업', '되다', '방법', '궁금하다']",5048,0,0,-1,0,14,14,,,,,,,,,,,,,,
5043,3성적이 되기에 외고로 진학하려고 하는데 대학 들어가기에 괜찮겠죠,"['성적', '되다', '외고', '진학', '하다', '하다', '대학', '들어가다', '괜찮다']",5049,0,0,-1,0,0,0,0,0,21,21,,,,,,,,,,
5044,4고등학교 들어가기전에 중학생인 제가 지금 조금씩이라도 해보면 좋은게 뭐가 있을까요,"['고등학교', '들어가다', '중학생', '지금', '해보다', '좋다', '은', '뭐']",5050,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,19,19,,
5066,라는 말씀이였죠,"['말씀', '이다']",5072,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,30,30
5071,이번에 고등학교를 들어와서 진로에 대한 과제들이 들어오니 더욱 더 고민이 생기더라고요,"['고등학교', '들어오다', '진로', '대한', '과제', '들어오다', '더욱', '더', '고민', '생기다']",5077,0,0,-1,0,-1,0,0,0,-1,0,16,16,,,,,,,,
5074,학교에서 진로검사를 하라고 해서,"['학교', '진로', '검사', '하라', '하다']",5080,0,0,-1,0,0,0,0,0,0,0,0,0,29,29,,,,,,
5075,저는 외과의사 중에서 수술을 하는 흉부외과 의사가 되고 싶은데 이 현실에서 의사가 되는 것은 정말정말 힘든 일이고 제가 과연 그 무게를 감당할 수 있을지 모르겠어요,"['외과의사', '중', '수술', '하다', '흉부', '외과', '의사', '되다', '싶다', '현실', '의사', '되다', '힘드다', '일이', '무게', '감당', '하다', '수', '모르다']",5082,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,14,14,,,,
5079,안녕하세요,['안녕하다'],5086,1,1,,,,,,,,,,,,,,,,,,
5080,저는 초월고등학교에 재학중인 3학년 강민영입니다,"['초월', '고등학교', '재학', '학년', '강민영', '이다']",5087,0,0,-1,0,1,1,,,,,,,,,,,,,,
5081,요즘 진로의 대해 고민이 많구요,"['요즘', '진로', '대해', '고민', '많다']",5088,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,4,4,,
5084,안녕하세요 전자기기에 관심이 많은 문과 남학생입니다,"['안녕하다', '전자기기', '관심', '많다', '문과', '남학생', '이다']",5091,0,0,-1,0,-1,0,9,9,,,,,,,,,,,,
5086,제가 진로를 문과로 전향한 이후 비교적 전자기기를 많이 접할 수 있는 직업을 찾아서 진로를 전자기기 마케팅으로 정하게 되었는데요,"['진로', '문과', '전향', '이후', '비교', '전자기기', '접', '하다', '수', '직업', '찾다', '진로', '전자기기', '마케팅', '정', '하다', '되어다']",5093,0,0,-1,0,0,0,0,0,0,0,0,0,13,13,,,,,,
5088,관련 계열 학과에 진학하기 위해 어떤 점이 필요한지 알고 싶습니다,"['관련', '계열', '학과', '진학', '하다', '위해', '어떻다', '점', '필요하다', '알', '싶다']",5095,0,0,-1,0,-1,0,0,0,-1,0,32,32,,,,,,,,
5091,삼성이나 애플 구글과 같은 대기업에 취업하고 싶어서 소프프트웨어 개발자와같은 직업을 생각중이예요이제 곧 고등학교 원서를 써야되서 고등학교를 소프트웨어관련된 마이스터나 특성화를 가야되나 아니면 인문계 일반고를 가서대학입학할때 컴공과를 가야되나 고민이예요 대학때 부터 소프트웨어 공부를하면 늦지않나 싶고 그렇다고 특성화를 가자니 부모님은 초등학교 교사를 원하세요,"['삼성', '애플', '구글', '대기업', '취업', '싶다', '소프', '프트', '웨어', '개발자', '직업', '생각', '중이', '이제', '고등학교', '원서', '써다', '서다', '고등학교', '소프트웨어', '관련', '되다', '마', '이스터', '특성', '가다', '아니다', '인문', '반고', '가다', '대학입학', '하다', '컴공', '가다', '고민', '대학', '소프트웨어', '공부', '하다', '늦다', '않다', '싶다', '특성', '가다', '부모님', '초등학교', '교사', '원하다']",5098,0,0,-1,0,31,31,,,,,,,,,,,,,,
5095,안녕하세요,['안녕하다'],5102,1,1,,,,,,,,,,,,,,,,,,
5102,아니면 공부를 열심히 해서 자전거를 잠시 접어두고 나중에 치과의사로 성공해서 자전거를 취미로 타는 게 나을까요,"['아니다', '공부', '하다', '자전거', '접다', '두다', '나중', '치과의사', '성공하다', '자전거', '취미', '게', '나다']",5109,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,17,17,,,,
5104,좋은답변 부탁드립니다,"['좋다', '답변', '부탁드리다']",5111,11,3,,,,,,,,,,,,,,,,,,
5105,안녕하세요,['안녕하다'],5112,1,1,,,,,,,,,,,,,,,,,,
5106,저는 지금 고 3 재학중인 학생인데 내신등급이 2학년 까지 55 등급입니다,"['지금', '고', '재학', '학생', '등급', '학년', '등급', '이다']",5113,0,0,-1,0,1,1,,,,,,,,,,,,,,
5112,어떻게 해야 하죠,"['어떻다', '하다', '하다']",5119,0,0,31,4,,,,,,,,,,,,,,,,
5113,만화가 하려고하는 고 1인데요,"['만화가', '하다', '고', '이다']",5120,0,0,-1,0,-1,0,0,0,28,28,,,,,,,,,,
5125,그래서 아직까지도 그 기자라는 직업을 장래희망으로 갖고있습니다,"['기자', '직업', '장래희망', '갖다']",5132,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,8,8,,
5126,미래의 제가 꼭 기자가 되고 싶어요,"['미래', '꼭', '기자', '되다', '싶다']",5133,0,0,-1,0,12,12,,,,,,,,,,,,,,
5132,안녕하세요,['안녕하다'],5139,1,1,,,,,,,,,,,,,,,,,,
5135,일단 궁금한거는 식품공학과 가있는 대학교가 어디있는지 궁금해요,"['궁금하다', '식품', '학과', '가다', '대학교', '궁금하다']",5142,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,47,47,,
5136,그리고 식품공학과 가려면 내신은 적어도 어느정도 가 되야하는지도 궁금하고요 제가 1학년때 독서 나 수행평가 에 진로 희망을 전 꿈으로 적어놨는데 식공으로 돌려놓으려면 어떡해 해야하는지 도 알려주세요,"['식품', '학과', '가다', '내신', '정도', '가다', '되다', '궁금하다', '학년', '독서', '수행평가', '진로', '희망', '전', '꿈', '적다', '식공', '돌리다', '어떡하다', '하다', '도', '알다']",5143,0,0,-1,0,31,31,,,,,,,,,,,,,,
5143,자신이 없어요,['없다'],5150,0,0,26,0,18,18,,,,,,,,,,,,,,
5145,선배나 주위애들 말 들어보면 그시간에 학원가는게 나은것같다고 하던데 어떻게 해야할지 모르겠어요,"['선배', '주위', '애', '말', '들다', '보다', '학원', '가다', '낫다', '하다', '어떻다', '하다', '하다', '모르다']",5152,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,
5147,안녕하세요,['안녕하다'],5154,1,1,,,,,,,,,,,,,,,,,,
5148,경남 사는 고등학생입니다,"['경남', '살다', '고등학생', '이다']",5155,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,18,18,,
5158,올해 중학교 3학년인 여학생입니다,"['올해', '중학교', '학년', '여학생', '이다']",5165,0,0,-1,0,1,1,,,,,,,,,,,,,,
5165,도와주세요,['도와주다'],5172,12,4,,,,,,,,,,,,,,,,,,
